Name,ID,Info,Species,Transformation,Source,Sample
cMMSFPr08,FH1,Mouse primary skin fibroblasts,Mouse,Untransformed,Hadi,A1
cMMSFPr08,FH2,Mouse primary skin fibroblasts,Mouse,Untransformed,Hadi,B1
cMMSFPr08,FH3,Mouse primary skin fibroblasts,Mouse,Untransformed,Hadi,C1
CMMSFSo07,FH4,SV40LT immortalised mouse skin fibroblasts,Mouse,SV40LT,Hadi,D1
cMMSFSo08,FH5,SV40LT immortalised mouse skin fibroblasts,Mouse,SV40LT,Hadi,E1
cMMSFSo08,FH6,SV40LT immortalised mouse skin fibroblasts,Mouse,SV40LT,Hadi,F1
cMMSFSRp08,FH7,SV40LT-Ras(Hadi) transformed mouse skin fibroblasts,Mouse,SV40LTRasHadi,Hadi,G1
cMMSFSRp08,FH8,SV40LT-Ras(Hadi) transformed mouse skin fibroblasts,Mouse,SV40LTRasHadi,Hadi,H1
cMMSFSRp07,FH9,SV40LT-Ras(Hadi) transformed mouse skin fibroblasts,Mouse,SV40LTRasHadi,Hadi,A2
bSPr05,FH10,NMR primary skin fibroblasts [hadi et al],NMR,Untransformed,Hadi,B2
bSPr05,FH11,NMR primary skin fibroblasts [hadi et al],NMR,Untransformed,Hadi,C2
bSPr05,FH12,NMR primary skin fibroblasts [hadi et al],NMR,Untransformed,Hadi,D2
bSSo10,FH13,SV40LT immortalised NMR skin fibroblasts [hadi et al],NMR,SV40LT,Hadi,E2
bSSo07,FH14,SV40LT immortalised NMR skin fibroblasts [hadi et al],NMR,SV40LT,Hadi,F2
bSSo16,FH15,SV40LT immortalised NMR skin fibroblasts [hadi et al],NMR,SV40LT,Hadi,G2
bSSRp09,FH16,SV40LT-Ras(Hadi) transformed NMR skin fibroblasts [hadi et al],NMR,SV40LTRasHadi,Hadi,H2
bSSRp09,FH17,SV40LT-Ras(Hadi) transformed NMR skin fibroblasts [hadi et al],NMR,SV40LTRasHadi,Hadi,A3
bSSRp09,FH18,SV40LT-Ras(Hadi) transformed NMR skin fibroblasts [hadi et al],NMR,SV40LTRasHadi,Hadi,B3
NSF8Pr33,FH19,NMR primary skin fibroblasts [tian et al],NMR,Untransformed,Tian,C3
NSF8Pr36,FH20,NMR primary skin fibroblasts [tian et al],NMR,Untransformed,Tian,D3
NSF8Pr36,FH21,NMR primary skin fibroblasts [tian et al],NMR,Untransformed,Tian,E3
NSF8SRp36,FH22,Tian et al’s NMR skin fibroblasts transformed by hadi et al’s vector (SV40LT-Ras(Hadi)),NMR,SV40LTRasHadi,Tian,F3
NSF8SRp37,FH23,Tian et al’s NMR skin fibroblasts transformed by hadi et al’s vector (SV40LT-Ras(Hadi)),NMR,SV40LTRasHadi,Tian,G3
NSF8SRp37,FH24,Tian et al’s NMR skin fibroblasts transformed by hadi et al’s vector (SV40LT-Ras(Hadi)),NMR,SV40LTRasHadi,Tian,H3
NSF8LTRas56,FH25,Transformed NMR skin fibroblasts line generated by tian et al (carries SV40LT & Ras),NMR,SV40LTRasTian,Tian,A4
NSF8LTRas58,FH26,Transformed NMR skin fibroblasts line generated by tian et al (carries SV40LT & Ras),NMR,SV40LTRasTian,Tian,B4
NSF8LTRas56,FH27,Transformed NMR skin fibroblasts line generated by tian et al (carries SV40LT & Ras),NMR,SV40LTRasTian,Tian,C4
